Name,Season,Ranking,Driving Distance,Driving Accuracy,Club Head Speed,Ball Speed,Spin Rate,Eligible
Cameron Tringale,2019,106,296.9,60.3,119.94,175.07,2900.1,-1.0
Sam Ryder,2019,107,294.3,63.5,116.22,170.85,2799.0,-1.0
K.H. Lee,2019,108,286.3,66.23,112.68,167.86,2536.3,-1.0
Scott Stallings,2019,109,297.5,58.92,115.83,173.7,2642.2,-1.0
Russell Knox,2019,110,289.6,65.54,112.65,167.39,2936.0,-1.0
Denny McCarthy,2019,111,291.0,65.7,112.65,169.71,2634.4,-1.0
Scott Brown,2019,112,289.0,65.29,113.65,167.41,2569.7,-1.0
Carlos Ortiz,2019,113,301.2,62.39,117.19,175.63,2731.2,-1.0
Aaron Wise,2019,114,303.7,61.27,116.44,173.99,2306.6,-1.0
Sepp Straka,2019,115,304.7,63.49,114.96,172.88,2657.9,-1.0
Aaron Baddeley,2019,116,286.3,57.74,113.93,171.31,2857.9,-1.0
Sebastián Muñoz,2019,117,299.4,60.23,119.25,175.13,2695.0,-1.0
Peter Malnati,2019,118,292.5,54.38,113.93,169.72,2783.1,-1.0
Brian Gay,2019,119,275.1,70.49,106.72,159.81,2481.0,-1.0
Nick Taylor,2019,120,292.3,61.86,110.97,166.28,2465.4,-1.0
Martin Laird,2019,121,299.1,62.46,115.34,172.6,2486.7,-1.0
Patton Kizzire,2019,122,295.0,60.71,114.79,172.02,2870.3,-1.0
Kelly Kraft,2019,123,290.3,61.49,109.55,165.18,2484.8,-1.0
Jonas Blixt,2019,124,289.5,64.4,111.98,166.8,2360.0,-1.0
Pat Perez,2019,125,286.1,64.96,115.48,167.85,3048.6,-1.0
Dustin Johnson,2020,1,307.0,60.46,118.98,178.44,2352.8,1.0
Xander Schauffele,2020,2,304.7,60.96,117.61,175.94,2470.8,1.0
Justin Thomas,2020,2,301.5,58.33,116.34,175.27,2264.7,1.0
Jon Rahm,2020,4,304.3,64.51,117.72,175.53,2430.3,1.0
Scottie Scheffler,2020,5,308.8,61.33,116.28,173.44,2624.8,1.0
Collin Morikawa,2020,6,295.9,66.53,113.63,168.42,2267.9,1.0
Tyrrell Hatton,2020,7,297.6,64.52,113.89,170.29,2413.3,1.0
Rory McIlroy,2020,8,312.9,57.63,118.6,178.12,2213.1,1.0
Sebastián Muñoz,2020,8,301.6,60.47,118.96,175.61,2654.0,1.0
Patrick Reed,2020,8,293.8,55.99,117.05,173.24,2782.1,1.0
Sungjae Im,2020,11,300.6,64.93,115.22,171.71,2763.8,1.0
Harris English,2020,12,300.0,62.39,115.61,174.39,2784.1,1.0
Webb Simpson,2020,12,296.0,66.88,111.0,167.32,2643.5,1.0
Mackenzie Hughes,2020,14,297.8,57.83,114.81,171.89,2617.5,1.0
Daniel Berger,2020,15,298.5,65.28,115.49,173.43,2581.5,1.0
Hideki Matsuyama,2020,15,303.3,58.56,115.62,172.95,2414.2,1.0
Tony Finau,2020,17,307.8,53.47,121.56,180.15,2658.7,1.0
Abraham Ancer,2020,18,297.7,65.02,111.98,168.27,2554.2,1.0
Lanto Griffin,2020,18,302.4,57.52,119.18,178.56,2638.5,1.0
Viktor Hovland,2020,20,298.0,64.19,112.88,168.87,2468.0,1.0
Brendon Todd,2020,20,280.8,72.12,107.05,158.86,2339.7,1.0
Bryson DeChambeau,2020,22,323.9,59.75,125.02,184.73,2455.4,1.0
Kevin Kisner,2020,23,287.9,66.35,111.68,166.03,2710.5,1.0
Cameron Champ,2020,24,321.3,56.94,126.98,189.58,2787.0,1.0
Ryan Palmer,2020,24,297.7,61.73,114.48,171.43,2503.7,1.0
Cameron Smith,2020,24,297.9,54.67,112.01,168.97,2248.1,1.0
Kevin Na,2020,27,286.8,63.27,113.44,166.46,2767.3,1.0
Joaquin Niemann,2020,27,300.0,57.03,117.84,176.48,2306.9,1.0
Marc Leishman,2020,29,297.3,52.68,114.98,172.72,2357.4,1.0
Billy Horschel,2020,30,298.5,65.28,113.49,170.47,2512.7,1.0
Adam Long,2020,31,291.1,63.36,110.26,165.74,2438.0,-1.0
Kevin Streelman,2020,32,294.7,65.97,112.62,168.05,2629.8,-1.0
Byeong Hun An,2020,33,305.0,55.2,113.74,171.45,2437.5,-1.0
Patrick Cantlay,2020,34,300.7,61.28,115.61,174.29,2424.3,-1.0
Matthew Wolff,2020,35,311.3,58.87,121.27,181.15,2343.3,-1.0
Matt Fitzpatrick,2020,36,293.3,65.22,112.19,168.24,2591.4,-1.0
Brian Harman,2020,37,292.3,62.96,109.68,163.95,2422.0,-1.0
Joel Dahmen,2020,38,294.7,65.29,111.77,167.61,2587.9,-1.0
Richy Werenski,2020,39,297.6,60.21,111.5,168.4,2401.9,-1.0
Tyler Duncan,2020,40,284.4,70.09,109.21,163.54,2557.8,-1.0
Adam Scott,2020,41,308.3,54.09,118.52,178.22,2711.3,-1.0
Jason Kokrak,2020,42,311.3,58.51,117.71,176.55,2305.5,-1.0
Gary Woodland,2020,43,304.9,60.84,121.33,180.84,2629.3,-1.0
Mark Hubbard,2020,44,289.9,63.79,112.41,166.68,2945.8,-1.0
Danny Lee,2020,45,302.6,57.18,114.31,170.48,2404.3,-1.0
Bubba Watson,2020,46,310.5,57.55,121.68,180.79,2743.7,-1.0
Brendan Steele,2020,47,302.1,60.84,117.01,173.27,2548.7,-1.0
Nick Taylor,2020,48,295.6,66.13,110.1,165.39,2562.2,-1.0
Paul Casey,2020,49,304.2,65.28,116.17,174.92,2514.6,-1.0
Tom Hoge,2020,50,289.1,61.72,111.8,167.54,2499.4,-1.0
Carlos Ortiz,2020,51,299.2,55.19,116.59,174.86,2735.0,-1.0
Alex Noren,2020,52,295.5,60.21,117.8,174.81,2960.8,-1.0
Corey Conners,2020,53,297.0,66.88,115.38,174.2,3071.2,-1.0
Adam Hadwin,2020,54,293.1,65.04,111.78,167.93,2797.0,-1.0
Harry Higgs,2020,55,300.5,62.44,116.65,171.71,2474.6,-1.0
Russell Henley,2020,56,288.8,65.97,109.58,165.08,2542.6,-1.0
Jason Day,2020,57,298.4,57.27,117.45,174.27,2398.3,-1.0
Dylan Frittelli,2020,58,290.3,60.9,113.04,170.27,2827.3,-1.0
Michael Thompson,2020,59,287.0,66.28,109.73,164.39,2653.0,-1.0
Talor Gooch,2020,60,297.0,58.86,118.32,175.21,2563.3,-1.0
Andrew Landry,2020,61,288.2,67.36,108.78,163.77,2405.8,-1.0
Matt Kuchar,2020,62,281.9,65.04,108.69,163.22,2521.9,-1.0
Jim Herman,2020,64,285.1,69.7,112.86,167.69,2500.1,-1.0
Louis Oosthuizen,2020,65,296.9,61.69,112.07,168.98,2557.7,-1.0
Robby Shelton,2020,66,295.3,63.04,110.65,166.58,2188.0,-1.0
J.T. Poston,2020,67,289.1,64.49,113.2,169.44,2626.5,-1.0
Maverick McNealy,2020,68,295.6,58.89,115.18,172.48,2349.3,-1.0
Charles Howell III,2020,69,301.6,55.88,116.95,175.73,2673.3,-1.0
Max Homa,2020,70,298.6,60.34,118.57,177.6,2910.9,-1.0
Doc Redman,2020,71,297.5,68.72,114.77,170.15,2610.1,-1.0
Sung Kang,2020,72,303.9,55.49,114.63,172.31,2404.4,-1.0
Denny McCarthy,2020,73,293.8,60.76,112.92,169.84,2516.2,-1.0
Troy Merritt,2020,74,292.0,64.2,111.27,167.49,2797.4,-1.0
Phil Mickelson,2020,75,301.5,54.6,117.14,174.03,2547.7,-1.0
Henrik Norlander,2020,76,292.1,69.61,112.98,167.97,2447.9,-1.0
Charley Hoffman,2020,77,296.0,56.31,113.3,169.7,2662.8,-1.0
Xinjun Zhang,2020,78,293.9,59.87,116.21,170.33,2601.0,-1.0
Sepp Straka,2020,79,302.6,60.61,113.53,171.16,2129.1,-1.0
Harold Varner III,2020,80,301.9,61.52,113.04,170.0,2062.9,-1.0
Si Woo Kim,2020,81,298.2,56.31,113.37,169.47,2476.2,-1.0
Cameron Tringale,2020,82,301.9,52.85,119.73,175.18,2710.8,-1.0
Bud Cauley,2020,83,290.4,58.47,111.15,166.77,2673.6,-1.0
Cam Davis,2020,84,307.7,58.41,118.47,178.38,2667.1,-1.0
Vaughn Taylor,2020,85,281.6,67.84,107.2,160.63,2472.7,-1.0
Patrick Rodgers,2020,86,308.3,53.0,119.73,178.07,2554.2,-1.0
Brian Stuard,2020,87,281.4,71.49,105.24,158.63,2392.1,-1.0
Ian Poulter,2020,88,285.7,58.33,109.81,165.29,2485.8,-1.0
Chez Reavie,2020,89,284.6,69.15,107.85,160.98,2195.1,-1.0
Pat Perez,2020,90,290.1,62.72,116.26,169.07,2847.3,-1.0
Justin Rose,2020,91,298.1,59.87,115.1,170.72,2460.2,-1.0
Tommy Fleetwood,2020,92,309.0,59.4,115.99,175.07,2382.3,-1.0
Emiliano Grillo,2020,93,295.2,66.0,113.67,170.81,2656.5,-1.0
Rickie Fowler,2020,94,294.9,63.83,113.88,171.46,2765.0,-1.0
Matt Jones,2020,95,297.1,58.79,115.02,172.75,2758.3,-1.0
Nate Lashley,2020,96,287.3,62.25,109.54,164.36,2265.0,-1.0
K.H. Lee,2020,97,296.5,64.71,112.71,169.29,2488.0,-1.0
Scott Harrington,2020,98,307.1,57.54,121.06,180.75,2785.5,-1.0
Keegan Bradley,2020,99,301.1,59.75,114.32,171.5,2289.4,-1.0
Matthew NeSmith,2020,100,295.0,64.79,114.04,170.74,2502.5,-1.0
Ryan Armour,2020,101,284.3,73.69,106.16,159.98,2461.0,-1.0
Scott Piercy,2020,102,297.2,61.88,111.5,167.73,2438.9,-1.0
Ryan Moore,2020,103,289.9,68.63,108.93,162.35,2398.6,-1.0
Brooks Koepka,2020,104,307.0,53.75,120.03,178.91,2601.6,-1.0
Zach Johnson,2020,105,285.9,62.41,109.78,163.91,2454.6,-1.0
Brandt Snedeker,2020,106,288.8,61.99,108.67,162.23,2415.2,-1.0
Jordan Spieth,2020,107,301.6,51.86,114.02,172.44,2384.4,-1.0
Sam Ryder,2020,108,297.9,61.24,117.27,172.13,2789.0,-1.0
Adam Schenk,2020,109,301.9,62.56,120.14,177.67,2864.8,-1.0
Wyndham Clark,2020,110,304.4,52.21,120.0,180.48,2496.5,-1.0
Sam Burns,2020,111,312.2,54.46,118.67,178.95,2587.6,-1.0
Keith Mitchell,2020,112,301.6,57.81,119.66,178.32,2531.2,-1.0
Zac Blair,2020,113,280.3,62.46,107.88,159.79,2492.4,-1.0
Scott Brown,2020,114,288.3,67.7,111.42,165.64,2453.8,-1.0
Brian Gay,2020,115,288.1,58.62,109.11,162.36,2317.8,-1.0
Beau Hossler,2020,116,306.6,53.35,114.97,172.23,2285.0,-1.0
Graeme McDowell,2020,117,283.8,62.07,110.24,163.42,2602.5,-1.0
Lucas Glover,2020,118,301.7,64.64,113.46,171.0,2296.7,-1.0
Luke List,2020,119,307.2,57.57,123.6,180.78,2657.2,-1.0
Scott Stallings,2020,120,297.5,57.32,114.28,171.16,2396.3,-1.0
Brice Garnett,2020,121,290.5,64.37,110.48,166.41,2484.7,-1.0
Rory Sabbatini,2020,122,283.7,60.99,109.8,164.22,2552.3,-1.0
Shane Lowry,2020,123,299.3,60.27,114.67,172.64,2317.5,-1.0
Tom Lewis,2020,124,305.9,56.92,115.5,174.19,2447.6,-1.0
Bo Hoag,2020,125,294.8,63.15,111.41,166.87,2408.5,-1.0
Patrick Cantlay,2021,1,301.7,60.28,116.03,174.53,2397.4,1.0
Jon Rahm,2021,2,307.7,63.52,118.23,177.44,2348.7,1.0
Kevin Na,2021,3,288.1,66.73,112.39,164.79,2805.7,1.0
Justin Thomas,2021,4,302.7,55.68,117.08,176.24,2281.8,1.0
Viktor Hovland,2021,5,300.5,62.47,116.5,173.6,2389.4,1.0
Xander Schauffele,2021,5,307.4,58.82,119.04,177.47,2496.9,1.0
Bryson DeChambeau,2021,7,321.5,53.45,132.57,190.61,2532.2,1.0
Dustin Johnson,2021,8,313.2,58.22,119.86,179.12,2358.4,1.0
Abraham Ancer,2021,9,290.1,70.67,110.48,165.94,2493.0,1.0
Billy Horschel,2021,9,294.4,65.25,113.87,170.79,2518.2,1.0
Daniel Berger,2021,11,296.4,64.68,115.84,172.95,2407.5,1.0
Tony Finau,2021,11,304.9,55.7,118.6,177.78,2546.4,1.0
Jason Kokrak,2021,11,308.1,60.66,118.25,176.9,2235.4,1.0
Sergio Garcia,2021,14,309.0,60.24,120.44,175.87,2552.8,1.0
Rory McIlroy,2021,14,319.0,56.6,123.19,183.03,2350.9,1.0
Louis Oosthuizen,2021,14,297.8,63.26,112.26,169.03,2433.7,1.0
Cameron Smith,2021,14,297.2,58.57,113.56,171.07,2129.7,1.0
Sam Burns,2021,18,304.5,57.7,119.54,179.77,2906.9,1.0
Harris English,2021,18,299.2,65.09,115.15,173.18,2573.2,1.0
Sungjae Im,2021,20,296.9,68.86,114.96,170.4,2795.8,1.0
Jordan Spieth,2021,20,299.2,54.73,114.56,172.55,2371.4,1.0
Corey Conners,2021,22,294.6,69.59,115.67,173.67,2973.5,1.0
Scottie Scheffler,2021,22,304.5,65.13,116.86,174.21,2556.7,1.0
Erik van Rooyen,2021,22,305.3,58.73,117.67,173.03,2502.2,1.0
Patrick Reed,2021,25,291.5,63.25,115.37,170.25,2712.5,1.0
Stewart Cink,2021,26,306.7,56.95,116.51,174.91,2346.9,1.0
Hideki Matsuyama,2021,26,298.7,62.74,115.54,172.48,2488.1,1.0
Collin Morikawa,2021,26,295.2,69.43,114.18,168.6,2341.9,1.0
Joaquin Niemann,2021,29,310.8,59.24,119.72,179.04,2339.5,1.0
Brooks Koepka,2021,30,309.8,55.9,120.58,177.95,2456.8,1.0
K.H. Lee,2021,31,298.0,62.37,112.96,169.49,2499.7,-1.0
Charley Hoffman,2021,32,306.3,56.24,117.01,175.87,2431.9,-1.0
Alex Noren,2021,33,297.4,57.5,117.59,174.96,2967.8,-1.0
Si Woo Kim,2021,34,296.5,61.79,113.67,168.57,2620.5,-1.0
Max Homa,2021,35,300.8,57.66,117.58,176.32,2751.8,-1.0
Hudson Swafford,2021,36,302.5,62.93,119.53,175.52,2589.7,-1.0
Cam Davis,2021,37,308.7,55.43,118.68,177.6,2472.0,-1.0
Kevin Kisner,2021,38,289.2,67.59,111.91,165.22,2561.2,-1.0
Keegan Bradley,2021,39,299.9,65.1,114.61,171.63,2431.9,-1.0
Webb Simpson,2021,40,292.9,67.64,110.79,166.58,2456.6,-1.0
Brian Harman,2021,41,291.5,65.86,109.19,164.41,2473.4,-1.0
Marc Leishman,2021,42,292.8,57.35,114.77,172.13,2710.8,-1.0
Cameron Tringale,2021,43,297.8,61.3,118.22,172.57,2737.0,-1.0
Harold Varner III,2021,44,301.3,60.4,113.35,170.31,2149.0,-1.0
Shane Lowry,2021,45,299.4,59.28,115.36,173.2,2536.1,-1.0
Lucas Glover,2021,46,295.0,63.4,112.4,169.02,2154.9,-1.0
Matt Jones,2021,47,304.2,55.15,117.06,175.27,2602.4,-1.0
Carlos Ortiz,2021,48,303.4,60.41,116.46,174.46,2529.4,-1.0
Aaron Wise,2021,49,300.8,59.06,115.92,172.73,2331.9,-1.0
Lee Westwood,2021,50,294.8,61.14,113.74,169.69,2513.8,-1.0
Charl Schwartzel,2021,51,302.7,57.9,120.41,176.07,2737.4,-1.0
Paul Casey,2021,52,304.2,61.37,116.18,174.63,2347.3,-1.0
Sebastián Muñoz,2021,53,297.2,62.77,118.16,173.01,2644.7,-1.0
Tom Hoge,2021,54,288.8,62.99,111.7,166.71,2674.3,-1.0
Branden Grace,2021,55,294.3,55.27,114.84,171.86,2712.3,-1.0
Russell Henley,2021,56,290.2,66.51,110.89,166.63,2575.8,-1.0
Cameron Champ,2021,57,318.9,58.42,127.57,191.01,2847.9,-1.0
Maverick McNealy,2021,58,298.7,59.94,116.09,173.32,2522.3,-1.0
Emiliano Grillo,2021,59,298.1,63.85,114.68,171.81,2515.5,-1.0
Robert Streb,2021,60,292.0,57.98,115.2,172.65,2810.3,-1.0
Jhonattan Vegas,2021,61,311.6,57.02,122.84,183.56,2604.3,-1.0
Chris Kirk,2021,62,291.5,62.43,110.95,165.85,2453.5,-1.0
Patton Kizzire,2021,63,300.9,57.57,114.66,171.85,2578.5,-1.0
Kevin Streelman,2021,64,296.1,65.77,112.85,168.24,2573.6,-1.0
Keith Mitchell,2021,65,306.8,55.77,120.82,177.84,2628.1,-1.0
Harry Higgs,2021,66,298.2,55.88,116.75,170.72,2406.2,-1.0
Mackenzie Hughes,2021,67,293.3,58.14,112.48,168.69,2481.3,-1.0
Talor Gooch,2021,68,298.4,59.58,117.38,174.29,2787.6,-1.0
Ryan Palmer,2021,69,304.4,58.97,116.74,172.77,2200.3,-1.0
Phil Mickelson,2021,70,301.6,53.92,117.7,175.39,2495.0,-1.0
Matthew Wolff,2021,71,315.9,51.49,123.62,182.03,2397.9,-1.0
Seamus Power,2021,72,295.0,62.83,117.16,173.22,2903.8,-1.0
Matt Fitzpatrick,2021,73,293.0,68.27,114.31,169.81,2558.9,-1.0
Tyrrell Hatton,2021,74,298.4,63.37,114.84,171.86,2402.6,-1.0
Martin Laird,2021,75,296.1,68.77,114.45,171.27,2700.0,-1.0
Joel Dahmen,2021,76,292.1,67.46,111.35,166.9,2723.9,-1.0
Ian Poulter,2021,77,284.9,66.24,109.96,165.13,2550.3,-1.0
Troy Merritt,2021,78,289.9,61.68,111.96,167.5,2870.8,-1.0
J.T. Poston,2021,79,299.8,56.84,113.91,170.1,2444.5,-1.0
Pat Perez,2021,80,292.7,61.78,118.64,171.52,2963.4,-1.0
Bubba Watson,2021,81,304.8,59.89,118.87,178.17,2794.7,-1.0
Andrew Putnam,2021,82,284.0,61.38,111.52,163.79,2716.2,-1.0
Doug Ghim,2021,83,292.8,67.71,111.35,167.24,2350.7,-1.0
Brandon Hagy,2021,84,311.4,50.4,124.48,184.99,2624.0,-1.0
Adam Long,2021,85,288.5,67.22,111.26,166.16,2628.5,-1.0
Peter Malnati,2021,86,290.8,56.12,112.87,168.67,2596.8,-1.0
Wyndham Clark,2021,87,315.0,47.07,119.37,179.45,2344.2,-1.0
Adam Schenk,2021,88,299.6,60.69,121.37,178.48,3011.0,-1.0
Lanto Griffin,2021,89,302.5,56.68,118.57,177.88,2626.9,-1.0
Adam Scott,2021,90,306.1,54.69,119.98,180.46,2431.9,-1.0
Kramer Hickok,2021,91,291.6,68.29,113.31,168.07,2463.1,-1.0
Brian Stuard,2021,92,277.9,73.35,105.02,158.08,2512.2,-1.0
Henrik Norlander,2021,93,294.0,67.16,114.84,169.87,2468.7,-1.0
Doc Redman,2021,94,294.0,64.88,115.51,169.26,2368.1,-1.0
Brian Gay,2021,95,286.7,59.33,110.05,162.2,2381.6,-1.0
Roger Sloan,2021,96,296.0,61.81,114.83,172.21,2889.1,-1.0
Brandt Snedeker,2021,97,286.4,63.94,111.53,163.03,2567.9,-1.0
Hank Lebioda,2021,98,295.4,61.27,112.42,169.33,2393.9,-1.0
Tyler McCumber,2021,99,309.6,57.79,121.95,181.53,2378.2,-1.0
Denny McCarthy,2021,100,295.8,62.86,111.97,168.36,2457.1,-1.0
Brendon Todd,2021,101,275.1,75.34,105.22,156.2,2400.4,-1.0
Luke List,2021,102,313.6,55.48,123.88,180.69,2775.7,-1.0
Adam Hadwin,2021,103,293.4,62.69,111.97,168.15,2838.1,-1.0
Chez Reavie,2021,104,281.6,73.17,106.63,159.09,2271.4,-1.0
Brendan Steele,2021,105,299.0,62.02,116.37,171.7,2472.8,-1.0
Sepp Straka,2021,106,303.2,57.77,113.51,170.55,2162.4,-1.0
James Hahn,2021,108,297.3,66.56,113.22,168.04,2586.2,-1.0
Zach Johnson,2021,109,289.5,61.87,109.82,163.38,2363.5,-1.0
Russell Knox,2021,110,291.0,66.13,111.71,167.64,2519.6,-1.0
Matt Wallace,2021,111,298.5,60.03,114.89,171.97,2596.1,-1.0
Sam Ryder,2021,112,297.0,61.69,117.4,172.22,2670.6,-1.0
Gary Woodland,2021,113,310.3,54.34,123.24,181.3,2695.6,-1.0
Jason Day,2021,114,300.9,61.33,117.34,174.91,2363.9,-1.0
Matthew NeSmith,2021,115,295.8,64.94,116.15,170.76,2480.3,-1.0
Scott Piercy,2021,116,298.3,59.29,112.8,169.06,2299.4,-1.0
Kyle Stanley,2021,117,292.4,66.61,110.35,165.49,2544.0,-1.0
Anirban Lahiri,2021,118,298.2,56.92,112.81,169.68,2387.3,-1.0
Dylan Frittelli,2021,119,309.9,51.37,118.7,178.07,2597.8,-1.0
Richy Werenski,2021,120,294.1,61.07,112.08,168.41,2254.1,-1.0
C.T. Pan,2021,121,296.3,61.03,111.2,167.34,2129.2,-1.0
Matt Kuchar,2021,122,288.0,65.81,108.6,162.18,2419.4,-1.0
Brice Garnett,2021,123,288.1,70.86,109.53,164.71,2539.5,-1.0
Scott Stallings,2021,124,298.2,58.83,115.96,173.8,2516.0,-1.0
Chesson Hadley,2021,125,297.9,56.13,114.3,172.24,2506.7,-1.0
