Name,Season,Ranking,Driving Distance,Driving Accuracy,Club Head Speed,Ball Speed,Spin Rate,Eligible
Rod Pampling,2017,74,289.5,59.59,113.37,165.58,2462.0,-1.0
Bubba Watson,2017,75,306.6,58.42,121.34,179.84,2993.6,-1.0
Graham DeLaet,2017,76,302.1,63.64,116.77,172.29,2329.5,-1.0
Jason Kokrak,2017,77,307.0,59.03,119.42,179.5,2408.3,-1.0
Patrick Rodgers,2017,78,307.2,52.74,121.76,180.33,2683.0,-1.0
Adam Scott,2017,79,306.3,57.02,118.52,177.64,2816.6,-1.0
Branden Grace,2017,80,292.9,58.35,115.69,172.91,3218.7,-1.0
Morgan Hoffmann,2017,81,294.8,60.36,112.36,168.11,2455.9,-1.0
Jonas Blixt,2017,82,289.5,59.37,111.44,165.94,2312.9,-1.0
Chad Campbell,2017,83,285.4,67.32,111.76,166.01,2766.7,-1.0
Chris Stroud,2017,84,287.4,65.54,112.05,164.6,2646.8,-1.0
William McGirt,2017,85,285.3,69.8,110.73,164.42,2871.5,-1.0
Kevin Streelman,2017,86,294.5,65.44,113.99,168.05,2483.5,-1.0
Cody Gribble,2017,87,298.2,54.57,116.28,170.18,2264.2,-1.0
C.T. Pan,2017,88,287.9,63.82,109.74,165.03,2440.8,-1.0
Whee Kim,2017,89,290.4,55.1,113.19,167.16,2341.2,-1.0
Harold Varner III,2017,90,302.6,59.2,118.99,173.91,2476.4,-1.0
Jim Herman,2017,91,293.5,69.43,116.24,171.21,2810.8,-1.0
Chris Kirk,2017,92,287.4,63.32,110.24,164.99,2573.4,-1.0
Nick Taylor,2017,93,292.0,61.24,110.23,165.21,2412.7,-1.0
David Lingmerth,2017,94,290.9,63.2,111.75,166.78,2709.1,-1.0
J.B. Holmes,2017,95,307.6,51.3,121.71,179.55,2733.4,-1.0
Camilo Villegas,2017,96,288.4,53.9,110.12,165.19,2257.6,-1.0
J.J. Spaun,2017,97,292.1,65.2,115.31,167.44,2580.3,-1.0
Scott Piercy,2017,98,295.9,59.68,112.75,169.27,2676.7,-1.0
Patton Kizzire,2017,99,292.9,52.49,113.4,169.4,2461.2,-1.0
Michael Kim,2017,100,289.9,60.08,111.21,165.31,2422.2,-1.0
Scott Stallings,2017,101,297.3,57.13,114.94,172.02,2314.9,-1.0
Byeong Hun An,2017,102,300.3,56.97,115.43,172.24,2404.1,-1.0
Martin Flores,2017,103,300.3,52.09,117.86,173.74,2565.3,-1.0
D.A. Points,2017,104,278.2,65.92,108.26,160.97,2229.6,-1.0
Luke Donald,2017,105,277.7,56.12,113.63,164.5,2828.5,-1.0
Richy Werenski,2017,106,291.4,65.92,110.71,166.6,2607.5,-1.0
Ryan Blaum,2017,107,284.2,60.64,109.19,162.44,2671.0,-1.0
Geoff Ogilvy,2017,108,286.4,61.96,112.06,165.34,2750.9,-1.0
Robert Garrigus,2017,109,300.7,59.18,117.29,176.09,2353.1,-1.0
Seung-Yul Noh,2017,110,299.0,53.16,116.59,173.5,2574.4,-1.0
Jimmy Walker,2017,111,295.9,56.82,114.28,171.84,2468.1,-1.0
Brian Gay,2017,112,278.7,65.22,106.64,158.25,2452.1,-1.0
Brandon Hagy,2017,113,313.2,52.34,126.44,186.75,2806.4,-1.0
Vaughn Taylor,2017,114,282.2,67.85,106.93,160.49,2399.4,-1.0
Steve Stricker,2017,115,282.0,72.65,110.82,164.69,2757.4,-1.0
Derek Fathauer,2017,116,286.8,55.25,110.71,166.33,2527.0,-1.0
Tyrone Van Aswegen,2017,117,286.8,59.62,113.06,168.97,2560.1,-1.0
Harris English,2017,118,301.8,50.97,117.83,176.33,2711.6,-1.0
Dominic Bozzelli,2017,119,294.4,56.57,114.66,170.79,2588.1,-1.0
Nick Watney,2017,120,300.6,55.31,119.43,177.8,2829.0,-1.0
John Huh,2017,121,287.1,63.5,109.05,162.09,2149.0,-1.0
Blayne Barber,2017,122,291.1,61.23,111.29,167.31,2380.2,-1.0
Ben Martin,2017,123,291.6,63.56,113.21,168.25,2609.0,-1.0
Rory Sabbatini,2017,124,291.8,64.7,111.07,165.77,2586.9,-1.0
J.J. Henry,2017,125,293.9,62.8,114.22,170.08,2544.1,-1.0
Justin Rose,2018,1,302.7,65.93,117.23,172.35,2387.0,1.0
Tiger Woods,2018,2,304.8,56.04,120.46,179.05,2416.4,1.0
Bryson DeChambeau,2018,3,306.7,60.61,117.74,175.65,2543.1,1.0
Dustin Johnson,2018,4,315.1,60.22,121.7,181.78,2772.9,1.0
Billy Horschel,2018,5,297.4,67.48,114.2,169.81,2584.1,1.0
Tony Finau,2018,6,316.5,53.74,121.8,182.06,2687.2,1.0
Justin Thomas,2018,7,313.8,58.92,117.52,176.44,2181.5,1.0
Keegan Bradley,2018,8,302.1,68.65,114.47,171.42,2567.5,1.0
Brooks Koepka,2018,9,313.6,56.9,121.84,180.82,2787.0,1.0
Bubba Watson,2018,10,314.8,58.21,121.13,181.35,2763.5,1.0
Webb Simpson,2018,11,294.7,61.94,110.98,164.62,2574.5,1.0
Cameron Smith,2018,12,298.5,56.31,113.39,169.68,2537.4,1.0
Hideki Matsuyama,2018,13,303.6,62.78,117.46,174.32,2726.5,1.0
Rory McIlroy,2018,13,320.3,55.46,121.51,181.4,2252.1,1.0
Xander Schauffele,2018,15,305.8,59.69,117.39,174.6,2501.6,1.0
Jason Day,2018,16,311.8,60.08,117.14,176.32,2139.1,1.0
Rickie Fowler,2018,17,300.2,64.81,116.2,174.35,2855.2,1.0
Francesco Molinari,2018,17,302.4,64.1,112.83,169.14,2718.3,1.0
Tommy Fleetwood,2018,19,308.2,65.77,116.75,174.72,2717.3,1.0
Patrick Cantlay,2018,20,302.9,61.13,114.05,171.94,2514.4,1.0
Phil Mickelson,2018,21,299.3,53.96,116.01,173.52,2788.9,1.0
Patrick Reed,2018,22,300.1,54.14,117.3,173.62,3026.3,1.0
Jon Rahm,2018,23,309.9,58.53,118.59,177.55,2376.9,1.0
Aaron Wise,2018,24,303.9,62.81,114.65,172.11,2588.6,1.0
Paul Casey,2018,25,305.9,62.84,117.31,175.45,2554.4,1.0
Gary Woodland,2018,26,314.3,63.46,122.68,180.41,2651.8,1.0
Kyle Stanley,2018,27,296.5,71.26,112.84,168.52,2775.7,1.0
Kevin Na,2018,28,291.3,63.6,113.89,166.42,2808.0,1.0
Marc Leishman,2018,29,298.9,59.2,115.48,173.22,2836.0,1.0
Patton Kizzire,2018,30,300.2,54.47,115.87,172.17,2596.6,1.0
